id,name,place_name,category,rating,popularity,avg_cost,tags,description
1,学一食堂,北京邮电大学沙河校区,食堂,4.4,88,18,校园;食堂;简餐,北京邮电大学沙河校区内常用食堂之一，适合日常就餐。
2,学五食堂,清华大学,食堂,4.6,92,22,校园;食堂;家常菜,清华大学校内较受欢迎的食堂之一，菜品种类丰富。
3,燕南美食,北京大学,食堂,4.5,90,20,校园;食堂;北方菜,北京大学校内热门就餐地点之一，适合学生和访客。
4,故宫角楼咖啡,故宫,咖啡,4.3,95,35,景区;咖啡;文创,具有景区特色和文化氛围的咖啡店，适合拍照与休息。
5,颐和园听鹂馆,颐和园,中餐,4.6,89,80,景区;中餐;传统,靠近景区核心区域，主打传统中式餐饮。
6,西湖醋鱼馆,西湖,浙菜,4.7,96,85,景区;浙菜;热门,主打杭州本地特色菜，游客关注度较高。
7,樱园餐厅,武汉大学,食堂,4.4,87,19,校园;食堂;樱花,武汉大学校内餐厅，春季游客较多。
8,芙蓉餐厅,厦门大学,食堂,4.5,91,21,校园;食堂;海鲜,厦门大学校内较热门餐厅，兼具学生与游客需求。
9,黄鹤楼小吃铺,黄鹤楼,小吃,4.2,84,15,景区;小吃;地方特色,提供景区常见小吃和地方风味食品。
10,未名湖咖啡屋,北京大学,咖啡,4.6,86,32,校园;咖啡;安静,适合休息、学习和轻度社交的校园咖啡空间。
11,园林面馆,苏州园林,面食,4.5,83,28,景区;面食;江南风味,提供苏式面食和简餐，适合快速用餐。
12,古城风味馆,丽江古城,云南菜,4.7,94,68,景区;云南菜;热门,主打丽江及云南特色风味，游客较多。
13,旦苑餐厅,复旦大学,食堂,4.5,88,20,校园;食堂;学生,复旦大学校内常见就餐点，适合学生日常消费。
14,中大茶餐厅,中山大学,粤菜,4.6,90,30,校园;粤菜;茶餐厅,提供广式风味与轻餐，适合校内外来访者。
15,南大书香咖啡,南京大学,咖啡,4.5,85,29,校园;咖啡;学习,靠近教学区，适合安静学习和短时休息。
