id,name,type,parent_place,nearest_node,description
1,南门服务点,服务站,xmu_xiang_an,south_gate,位于翔安校区南门附近，适合作为入校咨询和路线起点。
2,南门公交站,交通设施,xmu_xiang_an,bus_stop_south,南门外侧公共交通接驳点，可作为校外到校内路线入口。
3,共享单车停放点,交通设施,xmu_xiang_an,cycle_parking,靠近南门入口，适合步行和骑行路线切换。
4,校区服务中心,服务站,xmu_xiang_an,service_center,提供校区事务咨询和基础服务。
5,芙蓉餐厅,餐饮,xmu_xiang_an,canteen_furong,校内主要餐饮设施之一，适合作为就餐目的地。
6,校园超市,商店,xmu_xiang_an,supermarket,提供饮料、零食和日用品。
7,校区医务室,医疗点,xmu_xiang_an,medical_center,提供基础医疗与应急帮助。
8,德旺图书馆,图书馆,xmu_xiang_an,library_dewang,翔安校区重要学习空间，可作为教学区路线目标。
9,综合体育馆,体育设施,xmu_xiang_an,gym_center,校内体育活动与场馆服务节点。
10,西区运动场,体育设施,xmu_xiang_an,stadium_west,西部宿舍区附近的运动场地。
11,东区运动场,体育设施,xmu_xiang_an,stadium_east,东部教学与宿舍片区附近的运动场地。
12,西部宿舍区,住宿区,xmu_xiang_an,dorm_west,西部学生生活区，可作为住宿片区查询目标。
13,东部宿舍区,住宿区,xmu_xiang_an,dorm_east,东部学生生活区，可作为住宿片区查询目标。
14,西部教学楼群,教学楼,xmu_xiang_an,teaching_west,西部教学片区，可作为上课路线目标。
15,东部教学楼群,教学楼,xmu_xiang_an,teaching_east,东部教学片区，可作为上课路线目标。
16,科研平台楼群,科研楼,xmu_xiang_an,science_platform,北部科研平台片区，适合科研楼访问路线。
